rssdid,name,address,city,state,zipcode,year,quarter
37,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2021,1
37,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2021,2
37,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2021,3
37,BANK OF HANCOCK COUNTY,12855 BROAD STREET,SPARTA,GA,31087,2021,4
242,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2021,1
242,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2021,2
242,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2021,3
242,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2021,4
279,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2021,1
279,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2021,2
279,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2021,3
279,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2021,4
354,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2021,1
354,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2021,2
354,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2021,3
354,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2021,4
457,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2021,1
457,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2021,2
457,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2021,3
457,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2021,4
505,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2021,1
505,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2021,2
505,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2021,3
505,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2021,4
1155,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2021,1
1155,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2021,2
1155,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2021,3
1155,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2021,4
1351,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2021,1
1351,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2021,2
1351,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2021,3
1351,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2021,4
1454,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2021,1
1454,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2021,2
1454,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2021,3
1454,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2021,4
1669,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2021,1
1669,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2021,2
1669,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2021,3
1669,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2021,4
1856,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,2021,1
1856,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,2021,2
1856,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,2021,3
1856,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,2021,4
2161,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,2021,1
2161,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,2021,2
2161,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,2021,3
2161,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,2021,4
2732,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,2021,1
2732,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,2021,2
2732,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,2021,3
2732,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",3400 WEST LAWRENCE AVENUE,CHICAGO,IL,60625,2021,4
2750,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,2021,1
2750,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,2021,2
2750,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,2021,3
2750,GENOA COMMUNITY BANK,502 WILLIARD AVENUE,GENOA,NE,68640,2021,4
3252,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,2021,1
3252,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,2021,2
3252,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,2021,3
3252,"FIRST NATIONAL BANK OF GORDON, THE",134 NORTH MAIN,GORDON,NE,69343,2021,4
3458,FARMERS BANK OF GREEN CITY,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,2021,1
3458,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,2021,2
3458,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,2021,3
3458,FARMBANK,1 SOUTH LINCOLN STREET,GREEN CITY,MO,63545,2021,4
3720,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,2021,1
3720,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,2021,2
3720,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,2021,3
3720,"BANK OF CLARENDON, THE",106 SOUTH BROOK STREET,MANNING,SC,29102,2021,4
3971,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,2021,1
3971,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,2021,2
3971,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,2021,3
3971,MIDCOUNTRY BANK,7825 WASHINGTON AVENUE SOUTH SUITE 120,BLOOMINGTON,MN,55439,2021,4
4156,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,2021,1
4156,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,2021,2
4156,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,2021,3
4156,KANZA BANK,151 NORTH MAIN,KINGMAN,KS,67068,2021,4
4231,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,2021,1
4231,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,2021,2
4231,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,2021,3
4231,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET,SYLVANIA,GA,30467,2021,4
5069,FIRST CREDIT BANK,9255 SUNSET BOULEVARD,WEST HOLLYWOOD,CA,90069,2021,1
5069,FIRST CREDIT BANK,9255 SUNSET BOULEVARD,WEST HOLLYWOOD,CA,90069,2021,2
5069,FIRST CREDIT BANK,9255 SUNSET BOULEVARD,WEST HOLLYWOOD,CA,90069,2021,3
5069,FIRST CREDIT BANK,9255 SUNSET BOULEVARD,WEST HOLLYWOOD,CA,90069,2021,4
