year,quarter,name,rssdid,Lender_Name,Lender_Id
2016,1,BANK OF HANCOCK COUNTY,37,,
2016,2,BANK OF HANCOCK COUNTY,37,,
2016,3,BANK OF HANCOCK COUNTY,37,,
2016,4,BANK OF HANCOCK COUNTY,37,,
2016,1,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2016,2,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2016,3,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2016,4,FIRST COMMUNITY BANK XENIA-FLORA,242,,
2016,1,"MINEOLA COMMUNITY BANK, SSB",279,,
2016,2,"MINEOLA COMMUNITY BANK, SSB",279,,
2016,3,"MINEOLA COMMUNITY BANK, SSB",279,,
2016,4,"MINEOLA COMMUNITY BANK, SSB",279,,
2016,1,BISON STATE BANK,354,,
2016,2,BISON STATE BANK,354,,
2016,3,BISON STATE BANK,354,,
2016,4,BISON STATE BANK,354,,
2016,1,LOWRY STATE BANK,457,,
2016,2,LOWRY STATE BANK,457,,
2016,3,LOWRY STATE BANK,457,,
2016,4,LOWRY STATE BANK,457,,
2016,1,BALLSTON SPA NATIONAL BANK,505,,
2016,2,BALLSTON SPA NATIONAL BANK,505,,
2016,3,BALLSTON SPA NATIONAL BANK,505,,
2016,4,BALLSTON SPA NATIONAL BANK,505,,
2016,1,FIRST STATE BANK & TRUST COMPANY,1155,,
2016,2,FIRST STATE BANK & TRUST COMPANY,1155,,
2016,3,FIRST STATE BANK & TRUST COMPANY,1155,,
2016,4,FIRST STATE BANK & TRUST COMPANY,1155,,
2016,1,BANK OF GRANDIN,1351,,
2016,2,BANK OF GRANDIN,1351,,
2016,3,BANK OF GRANDIN,1351,,
2016,4,BANK OF GRANDIN,1351,,
2016,1,HILLTOP NATIONAL BANK,1454,,
2016,2,HILLTOP NATIONAL BANK,1454,,
2016,3,HILLTOP NATIONAL BANK,1454,,
2016,4,HILLTOP NATIONAL BANK,1454,,
2016,1,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2016,2,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2016,3,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2016,4,"FIRST STATE BANK, KIOWA, KANSAS, THE",1557,,
2016,1,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2016,2,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2016,3,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2016,4,"LIBERTY NATIONAL BANK IN PARIS, THE",1669,,
2016,1,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2016,2,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2016,3,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2016,4,ALLEGHENY VALLEY BANK OF PITTSBURGH,1829,,
2016,1,WASHITA STATE BANK,1856,,
2016,2,WASHITA STATE BANK,1856,,
2016,3,WASHITA STATE BANK,1856,,
2016,4,WASHITA STATE BANK,1856,,
2016,1,FARMERS & MERCHANTS BANK,2040,,
