original,clean_legal_name,search_core_name,predecessor,status,successor,fdic_query_main,fdic_query_pred
American Bank of Missouri,American Bank of Missouri,American Bank of Missouri,,Active,,NAME:*AMERICAN\ BANK\ OF\ MISSOURI*,
American Enterprise Bank,American Enterprise Bank,American Enterprise Bank,,Active,,NAME:*AMERICAN\ ENTERPRISE\ BANK*,
American Express Bank,American Express Bank,American Express Bank,,Active,,NAME:*AMERICAN\ EXPRESS\ BANK*,
American Express Co,American Express Company,American Express,,Active,,NAME:*AMERICAN\ EXPRESS*,
American Financial Corp,American Financial Corporation,American Financial,,Active,,NAME:*AMERICAN\ FINANCIAL*,
American Heritage Bank,American Heritage Bank,American Heritage Bank,,Active,,NAME:*AMERICAN\ HERITAGE\ BANK*,
Arvest Bank,Arvest Bank,Arvest Bank,,Active,,NAME:*ARVEST\ BANK*,
Associated Banc Corp,Associated Banc-Corp,Associated Banc,,Active,,NAME:*ASSOCIATED\ BANC*,
Associated Bank Chicago,Associated Bank,Associated Bank,,Active,,NAME:*ASSOCIATED\ BANK*,
Associated Bank Minnesota,Associated Bank,Associated Bank,,Active,,NAME:*ASSOCIATED\ BANK*,
Associated Bank NA,"Associated Bank, N.A.",Associated Bank,,Active,,NAME:*ASSOCIATED\ BANK*,
Atlantic Bank & Trust,Atlantic Bank & Trust,Atlantic Bank & Trust,,Active,,NAME:*ATLANTIC\ BANK\ TRUST*,
Atlantic Capital Bank,Atlantic Capital Bank,Atlantic Capital Bank,,Active,,NAME:*ATLANTIC\ CAPITAL\ BANK*,
Atlantic Coast Bank,Atlantic Coast Bank,Atlantic Coast Bank,,Active,,NAME:*ATLANTIC\ COAST\ BANK*,
Atlantic Security Bank,Atlantic Security Bank,Atlantic Security Bank,,Active,,NAME:*ATLANTIC\ SECURITY\ BANK*,
Atlantic Union Bank,Atlantic Union Bank,Atlantic Union Bank,,Active,,NAME:*ATLANTIC\ UNION\ BANK*,
Arizona Bank,Arizona Bank,Arizona Bank,,Active,,NAME:*ARIZONA\ BANK*,
Arkansas Valley Bank,Arkansas Valley Bank,Arkansas Valley Bank,,Active,,NAME:*ARKANSAS\ VALLEY\ BANK*,
Armed Forces Bank,Armed Forces Bank,Armed Forces Bank,,Active,,NAME:*ARMED\ FORCES\ BANK*,
Arrow Financial Corp,Arrow Financial Corporation,Arrow Financial,,Active,,NAME:*ARROW\ FINANCIAL*,
Artesia Banking Corp,Artesia Banking Corporation,Artesia Banking,,Active,,NAME:*ARTESIA\ BANKING*,
Avenue Bank,Avenue Bank,Avenue Bank,,Active,,NAME:*AVENUE\ BANK*,
Axiom Bank,Axiom Bank,Axiom Bank,,Active,,NAME:*AXIOM\ BANK*,
Axos Bank,Axos Bank,Axos Bank,,Active,,NAME:*AXOS\ BANK*,
BAC Florida Bank,BAC Florida Bank,BAC Florida Bank,,Active,,NAME:*BAC\ FLORIDA\ BANK*,
BAC International Bank Inc,"BAC International Bank, Inc.",BAC International Bank,,Active,,NAME:*BAC\ INTERNATIONAL\ BANK*,
BANK ONE Corp,Bank One Corporation,Bank One,,Acquired,,NAME:*BANK\ ONE*,
BB&I Co Ltd,BB&I Company Limited,BB&I,,Active,,NAME:*BBI*,
BB&T Corp,BB&T Corporation,BB&T,,Acquired,,NAME:*BBT*,
BB&T Financial Corp,BB&T Financial Corporation,BB&T Financial,,Acquired,,NAME:*BBT\ FINANCIAL*,
Abington Bank,Abington Bank,Abington Bank,,Active,,NAME:*ABINGTON\ BANK*,
Acacia Federal Savings Bank,Acacia Federal Savings Bank,Acacia Federal Savings Bank,,Active,,NAME:*ACACIA\ FEDERAL\ SAVINGS\ BANK*,
Academy Bank NA,Academy Bank NA,Academy Bank,,Active,,NAME:*ACADEMY\ BANK*,
Adirondack Bank,Adirondack Bank,Adirondack Bank,,Active,,NAME:*ADIRONDACK\ BANK*,
Advantage National Bank,Advantage National Bank,Advantage National Bank,,Active,,NAME:*ADVANTAGE\ NATIONAL\ BANK*,
Alabama Bankers Bank,Alabama Bankers Bank,Alabama Bankers Bank,,Active,,NAME:*ALABAMA\ BANKERS\ BANK*,
Alaska Pacific Bank,Alaska Pacific Bank,Alaska Pacific Bank,,Active,,NAME:*ALASKA\ PACIFIC\ BANK*,
Alerus Financial Corp,Alerus Financial Corp,Alerus Financial,,Active,,NAME:*ALERUS\ FINANCIAL*,
Aliant Bank,Aliant Bank,Aliant Bank,,Active,,NAME:*ALIANT\ BANK*,
Allegheny Valley Bank,Allegheny Valley Bank,Allegheny Valley Bank,,Active,,NAME:*ALLEGHENY\ VALLEY\ BANK*,
Allegiance Bank,Allegiance Bank,Allegiance Bank,,Active,,NAME:*ALLEGIANCE\ BANK*,
Allfirst Bank,Allfirst Bank,Allfirst Bank,,Acquired,,NAME:*ALLFIRST\ BANK*,
Alliance Bank NA,Alliance Bank NA,Alliance Bank,,Active,,NAME:*ALLIANCE\ BANK*,
Alliance Bank of Arizona,Alliance Bank of Arizona,Alliance Bank of Arizona,,Active,,NAME:*ALLIANCE\ BANK\ OF\ ARIZONA*,
Apple Bank,Apple Bank,Apple Bank,,Active,,NAME:*APPLE\ BANK*,
Apple Bank for Savings,Apple Bank for Savings,Apple Bank for Savings,,Active,,NAME:*APPLE\ BANK\ FOR\ SAVINGS*,
Aquesta Bank,Aquesta Bank,Aquesta Bank,,Active,,NAME:*AQUESTA\ BANK*,
1st Century Bank NA,First Century Bank NA,First Century Bank,,Active,,NAME:*FIRST\ CENTURY\ BANK*,
1st Source Bank,First Source Bank,First Source Bank,,Active,,NAME:*FIRST\ SOURCE\ BANK*,
1st United Bank,First United Bank,First United Bank,,Active,,NAME:*FIRST\ UNITED\ BANK*,
ABN AMRO Bank New York,ABN AMRO Bank,ABN AMRO Bank,,Active,,NAME:*ABN\ AMRO\ BANK*,
American Momentum Bank,American Momentum Bank,American Momentum Bank,,Active,,NAME:*AMERICAN\ MOMENTUM\ BANK*,
