Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
Churchill Asset Management,127165,United States,Asset Manager,2021,1
Leading Asias Private Infrastructure Fund,130786,Japan,Diversified Financial Services Company,2021,1
National Pension & Provident Fund,41850,India,,2021,1
RM Funds,158546,United States,,2021,2
Permira Funds,60399,United Kingdom,,2021,2
First Eagle Investment Management,122324,United States,"Asset Manager, Private Equity",2021,2
Green Climate Fund,134059,South Korea,Diversified Financial Services Company,2021,2
Marathon Asset Management,64522,United States,,2021,3
Voya Investment Management,114984,United States,,2021,3
Berenberg Green Energy Junior Debt Fund,160808,United States,,2021,3
African Development Fund,130416,Ivory Coast / Cote d'Ivoire,,2021,3
Macquarie Green Energy Debt Fund,161716,United States,,2021,4
Clean Technology Fund,130454,Indonesia,Diversified Financial Services Company,2021,4
A-CAP Management,150286,United States,"Asset Manager, Business Corporation",2021,4
