Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
Bank of America NA,46975,United States,Multinational Investment Bank & Financial Services,2021,1
Inter American Investment Corporation,126291,United States,,2021,1
PNC Bank NA,31841,United States,US Bank,2021,1
Barclays,103475,United Kingdom,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
National Bank Financial,58470,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
BBVA,77776,Spain,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
State Bank of India,11744,India,"Asian Bank, Canadian Bank, US Bank",2021,1
Equitable Bank,119789,Canada,"Asian Bank, Canadian Bank, US Bank",2021,1
Northern Trust,12940,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Citigroup,13703,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Citibank,29606,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1
Comerica Bank,31836,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
JP Morgan Chase,14263,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Silicon Valley Bank,53329,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
TD Bank NA,50531,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Truist Financial,150321,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of America,15447,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Truist Bank,153976,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Credit Suisse AG,17261,Switzerland,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
RBC Capital Markets,17835,Canada,"Asian Bank, Canadian Bank, US Bank",2021,1
Bank of Montreal,12677,Canada,"Asian Bank, Canadian Bank, US Bank",2021,1
Wells Fargo & Co,19499,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Lloyds Bank,49089,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1
HSBC,23803,United Kingdom,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Goldman Sachs & Co,43219,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Mizuho Bank Ltd,23894,Japan,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Mellon Bank,26419,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Keybank NA,26206,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Adams Street Partners LLC,61182,United States,,2021,1
Bank of the West,50489,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Cadence Bank NA,101682,United States,US Bank,2021,1
Renasant Bank,104224,United States,"Canadian Bank, US Bank",2021,1
Renesant Bank,124275,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
CIBC Bank USA,135396,United States,"Canadian Bank, US Bank",2021,1
Congressional Bank,106301,United States,"Canadian Bank, US Bank",2021,1
Forbright Bank [fka Congressional Bank],106301,United States,"Canadian Bank, US Bank",2021,1
West Suburban Bank,107540,United States,"Canadian Bank, US Bank",2021,1
Flagstar Bank,49883,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Citizens Bank NA,52640,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
HomeStreet Bank,127948,United States,"Canadian Bank, US Bank",2021,1
Bank of Hope,136201,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
TBK Bank,141300,United States,"Canadian Bank, US Bank",2021,1
JP Morgan,14261,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
JP Morgan Chase Bank NA,17665,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Cross River Bank,156839,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Bank Chicago,167249,United States,"Canadian Bank, US Bank",2021,1
LCA Bank Corp,174404,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
BMO Harris Bank NA,101691,United States,Canadian Bank,2021,1
Wells Fargo Bank,27003,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Wells Fargo Bank NA,27004,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Capital One NA,118531,United States,"Canadian Bank, US Bank",2021,1
Goldman Sachs Specialty Lending Group,131868,United States,Asset Manager,2021,1
Bremer Bank NA,58475,United States,"Canadian Bank, US Bank",2021,1
Old Second Bank,143069,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Old Second Bancorp Inc,47045,United States,"Canadian Bank, US Bank",2021,1
M&T Bank,48436,United States,US Bank,2021,1
First Bank NA,49164,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Banc of California,127813,United States,"Canadian Bank, US Bank",2021,1
Bank of California,47341,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
First Merchants Bank NA,58127,United States,"Canadian Bank, US Bank",2021,1
Sterling National Bank,51544,United States,US Bank,2021,1
Old National Bank,51679,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Intrust Bank,51999,United States,"Canadian Bank, US Bank",2021,1
Ares Management LLC,63027,United States,Asset Manager,2021,1
Alliance Bank NA,53515,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Transportation Alliance Bank,55146,United States,"Canadian Bank, US Bank",2021,1
First Bank of Highland Park,60971,United States,"Canadian Bank, US Bank",2021,1
Adams Street Credit Advisors LP,132054,United States,Asset Manager,2021,1
Ally Bank,92462,United States,US Bank,2021,1
First Merchant Bank,86545,United States,"Canadian Bank, US Bank",2021,1
Guggenheim Capital LLC,92143,United States,Asset Manager,2021,1
East West Bank,93936,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Federation des Caisses Desjardins du Quebec,157420,United States,Canadian Bank,2021,1
Canyon Partners LLC,156374,United States,,2021,1
Texas Capital Bank NA,66827,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of Nova Scotia,13099,Canada,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Banco Bradesco SA,10926,Brazil,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Man Varagon,114658,United States,"Asset Manager, BDC",2021,1
Varagon Capital Partners,114658,United States,"Asset Manager, Multinational Investment Bank & Financial Services",2021,1
Prosperity Bank,114808,United States,US Bank,2021,1
Industrial and Commercial Bank of China Ltd,104356,China,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Perceptive Advisors LLC,123779,United States,,2021,1
Raiffeisen Bank SA [Romania],17199,Romania,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Citi,13704,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
Citigroup Global Markets Ltd,51394,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
Comerica Bank NA,31838,United States,"Asian Bank, US Bank",2021,1
JP Morgan Chase & Co,14262,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
Third Coast Bank SSB,163225,United States,US Bank,2021,1
Morgan Stanley,17669,United States,"Asset Manager, BDC, Multinational Investment Bank & Financial Services",2021,1
US Bank NA,32997,United States,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Webster Bank NA,48050,United States,US Bank,2021,1
Alliance Bernstein LP,49192,United States,"Asset Manager, Multinational Investment Bank & Financial Services",2021,1
Texas Capital Bank,66826,United States,US Bank,2021,1
Ares Capital Corp,52334,United States,"Asset Manager, BDC, Multinational Investment Bank & Financial Services",2021,1
Associated Bank NA,52356,United States,"Asian Bank, US Bank",2021,1
Thoma Bravo,56627,United States,"Asset Manager, BDC, Multinational Investment Bank & Financial Services",2021,1
Golub Capital Inc,71915,United States,"Asset Manager, BDC, Multinational Investment Bank & Financial Services",2021,1
KBC Bank NV,49315,Belgium,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Twin Brook Capital Partners,122395,United States,Asset Manager,2021,1
Citibank NA,29607,United States,Multinational Investment Bank & Financial Services,2021,1
City National Bank,23674,United States,"Canadian Bank, European Bank, US Bank",2021,1
Antares Holdings,61916,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Private Equity",2021,1
State Street Bank,88345,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Regions Bank,49928,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
CoBank,52582,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bain Capital,109813,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Monroe Private Credit Fund A LP,122365,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Tree Line Capital Partners,129121,United States,Asset Manager,2021,1
