Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
Bank of America NA,46975,United States,Multinational Investment Bank & Financial Services,2021,1
PNC Bank NA,31841,United States,US Bank,2021,1
Northern Trust,12940,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Citigroup,13703,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Citibank,29606,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1
Comerica Bank,31836,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
JP Morgan Chase,14263,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Silicon Valley Bank,53329,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
TD Bank NA,50531,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Truist Financial,150321,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of America,15447,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Truist Bank,153976,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Wells Fargo & Co,19499,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Mellon Bank,26419,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Keybank NA,26206,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of the West,50489,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Cadence Bank NA,101682,United States,US Bank,2021,1
Renasant Bank,104224,United States,"Canadian Bank, US Bank",2021,1
Renesant Bank,124275,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
CIBC Bank USA,135396,United States,"Canadian Bank, US Bank",2021,1
Congressional Bank,106301,United States,"Canadian Bank, US Bank",2021,1
West Suburban Bank,107540,United States,"Canadian Bank, US Bank",2021,1
Flagstar Bank,49883,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Citizens Bank NA,52640,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
HomeStreet Bank,127948,United States,"Canadian Bank, US Bank",2021,1
Bank of Hope,136201,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
TBK Bank,141300,United States,"Canadian Bank, US Bank",2021,1
JP Morgan Chase Bank NA,17665,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Cross River Bank,156839,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Bank Chicago,167249,United States,"Canadian Bank, US Bank",2021,1
LCA Bank Corp,174404,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
BMO Harris Bank NA,101691,United States,Canadian Bank,2021,1
Wells Fargo Bank,27003,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Wells Fargo Bank NA,27004,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Capital One NA,118531,United States,"Canadian Bank, US Bank",2021,1
Bremer Bank NA,58475,United States,"Canadian Bank, US Bank",2021,1
Old Second Bank,143069,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
M&T Bank,48436,United States,US Bank,2021,1
First Bank NA,49164,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Banc of California,127813,United States,"Canadian Bank, US Bank",2021,1
Bank of California,47341,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
First Merchants Bank NA,58127,United States,"Canadian Bank, US Bank",2021,1
Sterling National Bank,51544,United States,US Bank,2021,1
Old National Bank,51679,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Intrust Bank,51999,United States,"Canadian Bank, US Bank",2021,1
Alliance Bank NA,53515,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Transportation Alliance Bank,55146,United States,"Canadian Bank, US Bank",2021,1
First Bank of Highland Park,60971,United States,"Canadian Bank, US Bank",2021,1
Ally Bank,92462,United States,US Bank,2021,1
East West Bank,93936,United States,"Asian Bank, Canadian Bank, US Bank",2021,1
Texas Capital Bank NA,66827,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Prosperity Bank,114808,United States,US Bank,2021,1
Citi,13704,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
Comerica Bank NA,31838,United States,"Asian Bank, US Bank",2021,1
JP Morgan Chase & Co,14262,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
Third Coast Bank SSB,163225,United States,US Bank,2021,1
US Bank NA,32997,United States,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Webster Bank NA,48050,United States,US Bank,2021,1
Texas Capital Bank,66826,United States,US Bank,2021,1
Associated Bank NA,52356,United States,"Asian Bank, US Bank",2021,1
Citibank NA,29607,United States,Multinational Investment Bank & Financial Services,2021,1
City National Bank,23674,United States,"Canadian Bank, European Bank, US Bank",2021,1
State Street Bank,88345,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Regions Bank,49928,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Huntington National Bank,17130,United States,US Bank,2021,1
Goldman Sachs Bank USA,49902,United States,"Asian Bank, Multinational Investment Bank & Financial Services",2021,1
MUFG Union Bank NA,116485,United States,"Development Finance Institution, Diversified Financial Services Company, Japanese Bank",2021,1
BOK Financial Corp,27214,United States,US Bank,2021,1
Trustmark National Bank,51912,United States,US Bank,2021,1
Hickory Point Bank & Trust,89638,United States,US Bank,2021,1
Signature Bank,49973,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Great Southern Bank,54505,United States,US Bank,2021,1
Eastern Bank,52557,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
People's United Bank,53373,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Citizens Financial Group,116754,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
Morgan Stanley Bank NA,103799,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
HSBC Bank USA NA,50505,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Sunflower Bank,56663,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
BBVA Compass,57073,United States,"European Bank, US Bank",2021,1
BankUnited NA,128659,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Hancock Whitney Bank,142472,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bank of Oklahoma NA,20993,United States,"European Bank, US Bank",2021,1
Fifth Third Bank,29604,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Midwest Bank,110446,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
KeyBank,51838,United States,"European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Synovus Bank,103840,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
First Horizon Bank,73447,United States,"Canadian Bank, Diversified Financial Services Company, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
South State Bank,116737,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Santander Bank NA,111453,United States,"Asian Bank, Business Corporation, European Bank, Japanese Bank, US Bank",2021,1
Morgan Stanley Bank,92232,United States,"Asset Manager, Multinational Investment Bank & Financial Services, Other",2021,1
Wintrust Financial Corp,42405,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Umpqua Bank,60043,United States,US Bank,2021,1
Western Alliance Bancorp,104660,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Zions Bancorporation,120947,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Vectra Banking Corp,66153,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Zions Bank,72806,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
HomeTrust Bank,150365,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Ameris Bancorp,49355,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
