original,status,successor,search_query,notes,Found,Match_Count,Match1_Name,Match1_CERT,Match1_RSSD,Match1_Status,Match1_Asset,Match1_State,Match1_Address,Match1_City,Match1_Zip,Match1_SimScore,Match2_Name,Match2_CERT,Match2_RSSD,Match2_Status,Match2_Asset,Match2_State,Match2_Address,Match2_City,Match2_Zip,Match2_SimScore
Ameris Bancorp,Active,Ameris Bancorp,Ameris*Bancorp*,Input 'Ameris Bancorp' cleaned (no legal suffixes). Active regional bank.,False,0,,,,,,,,,,,,,,,,,,,,
Apple Bank,Active,Apple Bank,Apple*Bank*,Input 'Apple Bank' is active New York-based bank.,True,2,Apple Bank,16068,249612,Active,18817415.0,NY,122 E 42nd St,New York,10168,1.00,Apple River State Bank,17453,594938,Active,637606.0,IL,103 Main St,Apple River,61001,0.62
Apple Bank for Savings,Active,Apple Bank for Savings,Apple*Bank*for*Savings*,Input 'Apple Bank for Savings' is active savings bank subsidiary.,False,0,,,,,,,,,,,,,,,,,,,,
Arizona Bank,Active,Arizona Bank,Arizona*Bank*,Input 'Arizona Bank' is active regional bank.,True,3,Arizona Bank,18775,585150,Inactive,1327486.0,AZ,120 North Stone Street,Tucson,85702,1.00,Arizona Bank & Trust,57620,3187612,Inactive,1977640.0,AZ,2036 E Camelback Rd,Phoenix,85016,0.77
Arvest Bank,Active,Arvest Bank,Arvest*Bank*,Input 'Arvest Bank' is active Midwest/South regional bank.,True,9,Arvest Bank,8728,311845,Active,27349420.0,AR,75 N East Ave,Fayetteville,72701,1.00,Arvest Bank,3891,970242,Inactive,652970.0,AR,201 West Walnut Street,Rogers,72756,1.00
Associated Bank,Active,Associated Bank,Associated*Bank*,Input 'Associated Bank NA' cleaned (removed NA). Active regional bank.,True,11,Associated Bank North,12340,896445,Inactive,1502068.0,WI,303 South First Avenue,Wausau,54402,0.83,"Associated Bank, National Association",5296,917742,Active,44393788.0,WI,200 N Adams St,Green Bay,54301,0.62
Atlantic Capital Bank,Active,Atlantic Capital Bank,Atlantic*Capital*Bank*,Input 'Atlantic Capital Bank' is active Georgia-based bank.,True,2,Atlantic Capital Bank,58492,3555695,Inactive,1381673.0,GA,"3280 Peachtree Road, Suite 1600",Atlanta,30305,1.00,"Atlantic Capital Bank, National Association",35525,3555695,Inactive,3818842.0,GA,945 E Paces Ferry Rd Ne,Atlanta,30326,0.70
Atlantic Union Bank,Active,Atlantic Union Bank,Atlantic*Union*Bank*,Input 'Atlantic Union Bank' is active Virginia-based bank.,True,1,Atlantic Union Bank,34589,693224,Active,36991202.0,VA,1051 E Cary St,Richmond City,23219,1.00,,,,,,,,,,
Australian & New Zealand Bank Group (New York),Active,Australian & New Zealand Bank Group (New York),Australian*&*New*Zealand*Bank*Group*(New*York)*,Input 'Australian & New Zealand Bank Group (New York)' is active ANZ subsidiary in NY.,True,10,National Exchange Bank and Trust,10044,722544,Active,2919051.0,WI,130 S Main St,Fond Du Lac,54935,0.40,Isabella Bank,1005,74140,Active,2210646.0,MI,139 E Broadway St,Mount Pleasant,48858,0.32
Axos Bank,Active,Axos Bank,Axos*Bank*,Input 'Axos Bank' is active online bank.,True,1,Axos Bank,35546,2917317,Active,26345444.0,CA,4350 La Jolla Village Dr,San Diego,92122,1.00,,,,,,,,,,
BAC Florida Bank,Active,BAC Florida Bank,BAC*Florida*Bank*,Input 'BAC Florida Bank' is active Bank of America subsidiary.,False,0,,,,,,,,,,,,,,,,,,,,
BAC International Bank,Active,BAC International Bank,BAC*International*Bank*,Input 'BAC International Bank Inc' cleaned (removed Inc). Active.,False,0,,,,,,,,,,,,,,,,,,,,
BBVA Compass,Acquired,PNC Bank,(BBVA*Compass* OR PNC*Bank*),Input 'BBVA Compass' acquired by PNC Bank in 2021.,True,10,"PNC Bank, National Association",6384,817824,Active,563953196.0,DE,222 Delaware Ave,Wilmington,19801,0.29,"PNC Bank, Kentucky, Inc.",10513,940348,Inactive,4877290.0,KY,500 West Jefferson Street,Louisville,40202,0.15
BMO Harris Bank,Active,BMO Harris Bank,BMO*Harris*Bank*,Input 'BMO Harris Bank NA' cleaned (removed NA). Active BMO US subsidiary.,True,1,BMO Harris Central National Association,58216,3353154,Active,8188.0,IL,110 E Irving Park Rd,Roselle,60172,0.51,,,,,,,,,,
BMO Harris Bank,Active,BMO Harris Bank,BMO*Harris*Bank*,Input 'BMO/Harris Bank' expanded to BMO Harris Bank. Active.,True,1,BMO Harris Central National Association,58216,3353154,Active,8188.0,IL,110 E Irving Park Rd,Roselle,60172,0.51,,,,,,,,,,
BOK Financial,Active,BOK Financial,BOK*Financial*,Input 'BOK Financial Corp' cleaned (removed Corp). Active Oklahoma-based bank.,False,0,,,,,,,,,,,,,,,,,,,,
BOKF,Active,BOKF,BOKF*,Input 'BOKF NA' cleaned (removed NA). Active BOK Financial subsidiary.,True,1,"BOKF, National Association",4214,339858,Active,49918282.0,OK,1 Williams Ctr,Tulsa,74172,0.31,,,,,,,,,,
BPR Bank,Active,BPR Bank,BPR*Bank*,Input 'BPR Bank' is active regional bank.,False,0,,,,,,,,,,,,,,,,,,,,
Banc of California,Active,Banc of California,Banc*of*California*,Input 'Banc of California' is active California-based bank.,True,2,Banc of California,24045,494261,Active,33923978.0,CA,11611 San Vicente Blvd,Los Angeles,90049,1.00,"Banc of California, National Association",35498,200378,Inactive,9238916.0,CA,3 Macarthur Pl,Santa Ana,92707,0.67
BancAlliance,Active,BancAlliance,BancAlliance*,Input 'BancAlliance Inc' cleaned (removed Inc). Active financial services firm.,False,0,,,,,,,,,,,,,,,,,,,,
CommerceOne Bank,Active,CommerceOne Bank,CommerceOne*Bank*,Input 'CommerceOne Bank' no corrections. Active community bank.,True,1,CommerceOne Bank,59114,5227101,Active,838987.0,AL,17 20th St N,Birmingham,35203,1.00,,,,,,,,,,
Commercial Bank,Active,Commercial Bank,Commercial*Bank*,Input 'Commercial Bank' no corrections. Active regional bank.,True,10,Commercial Bank,11777,296559,Active,361772.0,KS,1901 Main St,Parsons,67357,1.00,"Commercial Bank of Texas, National Association",1209,885869,Active,1641934.0,TX,215 E Main St,Nacogdoches,75961,0.53
Compass Bank,Acquired,PNC Bank,(Compass*Bank* OR PNC*Bank*),Input 'Compass Bank' acquired 2021 via BBVA USA merger by PNC Bank.,True,2,Compass Savings Bank,29430,373272,Active,57935.0,PA,111 Westinghouse Ave,Wilmerding,15148,0.75,"PNC Bank, National Association",6384,817824,Active,563953196.0,DE,222 Delaware Ave,Wilmington,19801,0.32
Compeer Financial,Active,Compeer Financial,Compeer*Financial*,Input 'Compeer Financial' no corrections. Active farm credit entity.,False,0,,,,,,,,,,,,,,,,,,,,
Concentra Bank,Acquired,First Horizon Bank,(Concentra*Bank* OR First*Horizon*Bank*),Input 'Concentra Bank' acquired 2021 by First Horizon Bank.,True,1,First Horizon Bank,4977,485559,Active,82886598.0,TN,165 Madison Ave,Memphis,38103,0.44,,,,,,,,,,
Congressional Bank,Acquired,EagleBank,(Congressional*Bank* OR Eagle*Bank*),Input 'Congressional Bank' merged 2019 into EagleBank.,True,8,EagleBank,34742,2652092,Active,10763529.0,MD,7500 Old Georgetown Rd,Bethesda,20814,0.44,Eaglemark Savings Bank,34313,2605566,Active,762258.0,NV,9850 Double R Blvd,Reno,89521,0.40
Cornerstone Bank,Active,Cornerstone Bank,Cornerstone*Bank*,Input 'Cornerstone Bank' no corrections. Active community bank.,True,9,Cornerstone Bank,13198,879457,Active,1751016.0,ND,2280 45th St S,Fargo,58104,1.00,Cornerstone Bank,5496,403151,Active,2774024.0,NE,529 N Lincoln Ave,York,68467,1.00
Credit Suisse AG New York Branch,Acquired,UBS Group AG,(Credit*Suisse*AG*New*York*Branch* OR UBS*Group*),Input 'Credit Suisse AG New York Branch' acquired 2023 by UBS Group AG.,False,0,,,,,,,,,,,,,,,,,,,,
Credit Suisse New York,Acquired,UBS Group AG,(Credit*Suisse*New*York* OR UBS*Group*),"Input 'Credit Suisse New York' refers to CS AG NY Branch, acquired 2023 by UBS.",False,0,,,,,,,,,,,,,,,,,,,,
Cross River Bank,Active,Cross River Bank,Cross*River*Bank*,Input 'Cross River Bank' no corrections. Active fintech-focused bank.,True,1,Cross River Bank,58410,3783313,Active,8120330.0,NJ,2115 Linwood Ave,Fort Lee,07024,1.00,,,,,,,,,,
CrossFirst Bank,Active,CrossFirst Bank,CrossFirst*Bank*,Input 'CrossFirst Bank' no corrections. Active regional bank.,True,2,CrossFirst Bank,58648,3594005,Inactive,7447108.0,KS,11440 Tomahawk Creek Pkwy,Leawood,66211,1.00,CrossFirst Bank Leawood,57303,3045299,Inactive,92080.0,KS,4707 West 135th Street,Leawood,66224,0.79
Customers Bank,Active,Customers Bank,Customers*Bank*,Input 'Customers Bank' no corrections. Active community bank.,True,1,Customers Bank,34444,2354985,Active,24261355.0,PA,40 General Warren Blvd,Malvern,19355,1.00,,,,,,,,,,
Dart Bank,Active,Dart Bank,Dart*Bank*,Input 'Dart Bank' no corrections. Active Michigan community bank.,True,4,Dartmouth Bank,26700,595476,Inactive,877159.0,NH,156 Hanover Street,Manchester,03105,0.78,Dartmouth Banking Company,26697,309301,Inactive,280013.0,NH,40 South Main Street,Hanover,03755,0.69
Deutsche Bank AG New York Branch,Active,Deutsche Bank AG New York Branch,Deutsche*Bank*AG*New*York*Branch*,Input 'Deutsche Bank AG New York Branch' no corrections. Active global bank branch.,False,0,,,,,,,,,,,,,,,,,,,,
Deutsche Bank New York,Active,Deutsche Bank AG New York Branch,Deutsche*Bank*New*York*,"Input 'Deutsche Bank New York' refers to DB AG NY Branch, active.",False,0,,,,,,,,,,,,,,,,,,,,
Deutsche Bank Trust Co Americas,Active,Deutsche Bank Trust Co Americas,Deutsche*Bank*Trust*Co*Americas*,Input 'Deutsche Bank Trust Co Americas' no corrections. Active subsidiary.,True,1,Deutsche Bank Trust Company Americas,623,214807,Active,40293000.0,NY,1 Columbus Cir,New York,10019,1.00,,,,,,,,,,
