Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter,original,Match1_RSSD,Match1_Name,Match1_Status,Match1_Asset,Match1_Address,Match1_City,Match1_State,Match1_Zip,Match2_RSSD,Match2_Name,Match2_Status,Match2_Asset,Match2_Address,Match2_City,Match2_State,Match2_Zip
Bank of America NA,46975,United States,Multinational Investment Bank & Financial Services,2021,1,,,,,,,,,,,,,,,,,
PNC Bank NA,31841,United States,US Bank,2021,1,,,,,,,,,,,,,,,,,
Northern Trust,12940,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Northern Trust,900306,Northern Bank & Trust Company,Active,3229640.0,275 Mishawum Rd,Woburn,MA,1801.0,665931,"Northern Trust, National Association",Inactive,16103864.0,700 Brickell Avenue,Miami,FL,33131.0
Northern Trust,12940,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Northern Trust,900306,Northern Bank & Trust Company,Active,3229640.0,275 Mishawum Rd,Woburn,MA,1801.0,665931,"Northern Trust, National Association",Inactive,16103864.0,700 Brickell Avenue,Miami,FL,33131.0
Northern Trust,12940,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Northern Trust,900306,Northern Bank & Trust Company,Active,3229640.0,275 Mishawum Rd,Woburn,MA,1801.0,665931,"Northern Trust, National Association",Inactive,16103864.0,700 Brickell Avenue,Miami,FL,33131.0
Citigroup,13703,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Citigroup,,,,,,,,,,,,,,,,
Citibank,29606,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1,Citibank,1404931,Citibank USA,Inactive,2423684.0,4500 New Linden Hill Road,Wilmington,DE,19808.0,476810,"Citibank, National Association",Active,1844189000.0,5800 S Corporate Pl,Sioux Falls,SD,57108.0
Citibank,29606,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1,Citibank,1404931,Citibank USA,Inactive,2423684.0,4500 New Linden Hill Road,Wilmington,DE,19808.0,476810,"Citibank, National Association",Active,1844189000.0,5800 S Corporate Pl,Sioux Falls,SD,57108.0
Citibank,29606,United States,"Canadian Bank, European Bank, Multinational Investment Bank & Financial Services",2021,1,Citibank,1404931,Citibank USA,Inactive,2423684.0,4500 New Linden Hill Road,Wilmington,DE,19808.0,476810,"Citibank, National Association",Active,1844189000.0,5800 S Corporate Pl,Sioux Falls,SD,57108.0
Comerica Bank,31836,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Comerica Bank,60143,Comerica Bank,Active,77366000.0,1717 Main St,Dallas,TX,75201.0,772446,"Comerica Bank & Trust, National Association",Active,126282.0,101 N Main St,Ann Arbor,MI,48104.0
Comerica Bank,31836,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Comerica Bank,60143,Comerica Bank,Active,77366000.0,1717 Main St,Dallas,TX,75201.0,772446,"Comerica Bank & Trust, National Association",Active,126282.0,101 N Main St,Ann Arbor,MI,48104.0
JP Morgan Chase,14263,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Silicon Valley Bank,53329,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Silicon Valley Bank,491224,First-Citizens Bank & Trust Company,Active,233167000.0,239 Fayetteville St,Raleigh,NC,27601.0,978118,First Citizens Community Bank,Active,3051688.0,15 S Main St,Mansfield,PA,16933.0
TD Bank NA,50531,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Truist Financial,150321,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Truist Financial,,,,,,,,,,,,,,,,
Bank of America,15447,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of America,480228,"Bank of America, National Association",Active,2651090000.0,100 N Tryon St,Charlotte,NC,28202.0,1443266,"Bank of America California, National Association",Active,15015000.0,555 California St,San Francisco,CA,94104.0
Bank of America,15447,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of America,480228,"Bank of America, National Association",Active,2651090000.0,100 N Tryon St,Charlotte,NC,28202.0,1443266,"Bank of America California, National Association",Active,15015000.0,555 California St,San Francisco,CA,94104.0
Bank of America,15447,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of America,480228,"Bank of America, National Association",Active,2651090000.0,100 N Tryon St,Charlotte,NC,28202.0,1443266,"Bank of America California, National Association",Active,15015000.0,555 California St,San Francisco,CA,94104.0
Truist Bank,153976,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Truist Bank,852320,Truist Bank,Active,535540000.0,214 N Tryon St,Charlotte,NC,28202.0,,,,,,,,
Wells Fargo & Co,19499,United States,"Asian Bank, European Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Mellon Bank,26419,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Mellon Bank,934329,"BNY Mellon, National Association",Active,31312000.0,500 Grant St,Pittsburgh,PA,15258.0,488318,BNY Mellon Trust of Delaware,Active,232195.0,103 Bellevue Parkway,Wilmington,DE,19809.0
Keybank NA,26206,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Bank of the West,50489,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of the West,859552,Bank of the West,Active,809472.0,108 W Northwest Hwy,Grapevine,TX,76051.0,732758,Bankers' Bank of the West,Active,412130.0,1099 18th St,Denver,CO,80202.0
Cadence Bank NA,101682,United States,US Bank,2021,1,,,,,,,,,,,,,,,,,
Renasant Bank,104224,United States,"Canadian Bank, US Bank",2021,1,Renasant Bank,749242,Renasant Bank,Active,26722596.0,209 Troy St,Tupelo,MS,38804.0,2789457,Renasant Bank of Tennessee,Inactive,269753.0,2177 Germantown,Germantown,TN,38138.0
Renasant Bank,104224,United States,"Canadian Bank, US Bank",2021,1,Renasant Bank,749242,Renasant Bank,Active,26722596.0,209 Troy St,Tupelo,MS,38804.0,2789457,Renasant Bank of Tennessee,Inactive,269753.0,2177 Germantown,Germantown,TN,38138.0
Renesant Bank,124275,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
CIBC Bank USA,135396,United States,"Canadian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Congressional Bank,106301,United States,"Canadian Bank, US Bank",2021,1,Congressional Bank,,,,,,,,,,,,,,,,
West Suburban Bank,107540,United States,"Canadian Bank, US Bank",2021,1,West Suburban Bank,375034,West Suburban Bank,Inactive,2901235.0,701 Westmore Meyers Rd,Lombard,IL,60148.0,129732,Byline Bank,Active,9791356.0,180 N La Salle St,Chicago,IL,60601.0
Flagstar Bank,49883,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,Flagstar Bank,694904,"Flagstar Bank, National Association",Active,91593478.0,102 Duffy Ave,Hicksville,NY,11801.0,694904,New York Community Bank,Inactive,62909410.0,102 Duffy Ave,Hicksville,NY,11801.0
Citizens Bank NA,52640,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
HomeStreet Bank,127948,United States,"Canadian Bank, US Bank",2021,1,HomeStreet Bank,258771,HomeStreet Bank,Inactive,7604778.0,"601 Union Street, Suite 2000",Seattle,WA,98101.0,,,,,,,,
Bank of Hope,136201,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Bank of Hope,671464,Bank of Hope,Active,18501184.0,3200 Wilshire Blvd,Los Angeles,CA,90010.0,352820,"Bank of Mount Hope, Inc.",Inactive,124703.0,602 Main Street,Mount Hope,WV,25880.0
TBK Bank,141300,United States,"Canadian Bank, US Bank",2021,1,TBK Bank,766164,"TBK BANK, SSB",Active,6351153.0,12700 Park Central Dr,Dallas,TX,75251.0,,,,,,,,
JP Morgan Chase Bank NA,17665,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Cross River Bank,156839,United States,"Canadian Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,Cross River Bank,3783313,Cross River Bank,Active,8120330.0,2115 Linwood Ave,Fort Lee,NJ,7024.0,,,,,,,,
