rssdid,name,address,city,state,zipcode,year,quarter
37.0,BANK OF HANCOCK COUNTY,321 BROAD STREET,SPARTA,GA,31087,2008.0,1.0
37.0,BANK OF HANCOCK COUNTY,321 BROAD STREET,SPARTA,GA,31087,2008.0,2.0
37.0,BANK OF HANCOCK COUNTY,321 BROAD STREET,SPARTA,GA,31087,2008.0,3.0
37.0,BANK OF HANCOCK COUNTY,321 BROAD STREET,SPARTA,GA,31087,2008.0,4.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2008.0,1.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2008.0,2.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2008.0,3.0
242.0,FIRST COMMUNITY BANK XENIA-FLORA,260 FRONT STREET,XENIA,IL,62899,2008.0,4.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2008.0,1.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2008.0,2.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2008.0,3.0
279.0,"MINEOLA COMMUNITY BANK, SSB",215 W BROAD,MINEOLA,TX,75773,2008.0,4.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2008.0,1.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2008.0,2.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2008.0,3.0
354.0,BISON STATE BANK,223 MAIN STREET,BISON,KS,67520,2008.0,4.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2008.0,1.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2008.0,2.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2008.0,3.0
457.0,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,2008.0,4.0
505.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2008.0,1.0
505.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2008.0,2.0
505.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2008.0,3.0
505.0,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,2008.0,4.0
1155.0,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2008.0,1.0
1155.0,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2008.0,2.0
1155.0,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2008.0,3.0
1155.0,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,2008.0,4.0
1351.0,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2008.0,1.0
1351.0,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2008.0,2.0
1351.0,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2008.0,3.0
1351.0,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,2008.0,4.0
1454.0,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2008.0,1.0
1454.0,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2008.0,2.0
1454.0,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2008.0,3.0
1454.0,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,2008.0,4.0
1557.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",546 MAIN STREET,KIOWA,KS,67070,2008.0,1.0
1557.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",546 MAIN STREET,KIOWA,KS,67070,2008.0,2.0
1557.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",546 MAIN STREET,KIOWA,KS,67070,2008.0,3.0
1557.0,"FIRST STATE BANK, KIOWA, KANSAS, THE",546 MAIN STREET,KIOWA,KS,67070,2008.0,4.0
1632.0,SEA ISLAND BANK,2 EAST MAIN STREET,STATESBORO,GA,30459,2008.0,1.0
1632.0,SEA ISLAND BANK,2 EAST MAIN STREET,STATESBORO,GA,30459,2008.0,2.0
1632.0,SEA ISLAND BANK,2 EAST MAIN STREET,STATESBORO,GA,30459,2008.0,3.0
1632.0,SEA ISLAND BANK,2 EAST MAIN STREET,STATESBORO,GA,30459,2008.0,4.0
1669.0,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2008.0,1.0
1669.0,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,2008.0,2.0
