"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"UBS AG","11126","Switzerland","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"Credit Suisse First Boston","53223","Switzerland","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"Allianz Securities Ltd","24125","India","Asia-Pacific Bank","2005.0","1.0"
"GE Capital Corp","31221","United States","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"Lloyds Bank Plc [ex-Lloyds TSB Bank Plc]","37996","United Kingdom","Western European Bank","2005.0","1.0"
"Fortress Credit Corp","64296","United States","Finance Company","2005.0","1.0"
"BNP Paribas SA","98068","France","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"Royal Bank of Scotland Plc [RBS]","11307","United Kingdom","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Bank of America","15447","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"LaSalle Bank NA","45419","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Merrill Lynch & Co Inc","7175","United States","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"NIBC Bank NV [ex-NIB Capital Bank NV]","12206","Netherlands","Finance Company, Investment Bank, Western European Bank","2005.0","1.0"
"Fifth Third Bank","29604","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"National City Bank","15279","United States","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"HSBC","23803","United Kingdom","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"UFJ Bank","15282","Japan","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Bank of Tokyo-Mitsubishi Group","49513","Japan","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Sumitomo Mitsui Banking Corp","31824","Japan","Asia-Pacific Bank, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Scotia Bank","29285","Canada","Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"National Australia Bank Ltd [NAB]","11024","Australia","Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
